,0
AAPL,
ABBV,118.66793736348075
ABT,
ACN,115.91850284534232
ADBE,51.61232084033078
AMZN,3116.362253808036
AVGO,3.1914821469590007
BAC,6.885825795469436
BRK.A,150.14117599823308
CMCSA,26.398829323525774
COST,123.85735781431323
CRM,267.4169866750755
CSCO,
CVX,
DHR,34.11005018585634
DIS,70.52753345103585
FB,99.21170063998174
GOOG,319.0264558305778
HD,
HON,
INTC,12.44179160293152
JNJ,
JPM,27.327582220828436
KO,
LLY,
MA,
MCD,250.70798127081164
MDT,0.054098214779668904
MRK,
MSFT,34.72861000547981
NEE,16.97051667043144
NFLX,470.6535115265982
NKE,
NVDA,269.07634409353017
ORCL,
PEP,2.395468909691676
PFE,5.329469005207519
PG,
PYPL,6.592929974829207
QCOM,
T,9.824209496631086
TMO,41.947624162007074
TSLA,
TXN,
UNH,115.03471253306073
UPS,395.7154484372641
V,11.315372050921173
VZ,139.26438481251455
WMT,2.158362942164324
XOM,
