,result_year,result_mean,result_max
AAPL,True,True,True
MSFT,True,True,True
AMZN,True,True,True
GOOG,True,True,True
FB,True,True,True
TSLA,True,True,False
BRK.A,True,True,True
V,True,True,True
JNJ,True,True,True
WMT,True,True,True
JPM,False,False,False
MA,True,True,True
PG,True,True,True
UNH,True,True,True
DIS,True,True,True
NVDA,True,True,True
HD,False,False,False
PYPL,True,True,True
BAC,False,False,False
VZ,True,False,False
ADBE,True,True,True
CMCSA,True,True,True
NFLX,True,True,True
KO,True,True,True
NKE,True,True,True
MRK,True,True,True
PEP,False,True,False
T,True,True,True
PFE,True,True,True
INTC,True,True,True
CRM,True,True,True
ABT,True,True,True
ORCL,False,True,False
ABBV,False,True,False
CSCO,True,True,True
TMO,True,True,True
AVGO,True,True,True
XOM,True,True,True
ACN,True,True,True
QCOM,True,True,False
COST,True,True,True
CVX,True,True,True
LLY,False,True,False
MCD,False,False,False
DHR,True,True,True
MDT,True,True,True
NEE,True,True,True
TXN,True,True,True
HON,True,True,True
UPS,False,False,False
